Address: line1,Address: line2,Site,Program Name in HMIS,Building Number,Unit Number,Status,Family Size,Household Type,Staff Assigned,Unit Type,Bed Inventory,Disability Required,Chronic Homeless,Age Range,AMI Limit,Additional Details,Unit Notes,Assigned Programs
12709 Avondale Way,102,Avondale PSH,,A,102,Occupied,,Family with Children,Melissa,2 Bedroom,,Yes,Dedicated,Unspecified,,,All 50% AMI??,
12709 Avondale Way,106,Avondale PSH,,C,106,Occupied,,Family with Children,Melissa,2 Bedroom,,Yes,Dedicated,Unspecified,,,All 50% AMI??,
12709 Avondale Way,107,Avondale PSH,,C,107,Occupied,,Family with Children,Melissa,3 Bedroom,,Yes,Dedicated,Unspecified,,,All 50% AMI??,
12709 Avondale Way,204,Avondale PSH,,C,204,"Client Assigned, Awaiting Move-In",,Family with Children,Melissa,3 Bedroom,,Yes,Dedicated,Unspecified,,,All 50% AMI??,
12709 Avondale Way,205,Avondale PSH,,C,205,Occupied,,Family with Children,Melissa,2 Bedroom,,Yes,Dedicated,Unspecified,,,All 50% AMI??,
12709 Avondale Way,207,Avondale PSH,,C,207,"Client Assigned, Awaiting Move-In",,Family with Children,Melissa,3 Bedroom,,Yes,Dedicated,Unspecified,,,All 50% AMI??,
1027 Beach Ave.,A,Beachwood ,,1029,A,Occupied,,Family with children,Bonnie,3 Bedroom,,Yes,Dedicated,Unspecified,35%,CoC Unit,All COC units require a permanent disabling condition for the Head of Household,
1027 Beach Ave.,B,Beachwood ,,1029,B,Occupied,,Family with children,Bonnie,3 Bedroom,,Yes,Dedicated,Unspecified,35%,CoC Unit,All COC units require a permanent disabling condition for the Head of Household,
1027 Beach Ave.,C,Beachwood ,,1029,C,Occupied,,Family with children,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,35%,CoC Unit,All COC units require a permanent disabling condition for the Head of Household,
1027 Beach Ave.,D,Beachwood ,,1029,D,Occupied,,Family with children,Bonnie,3 Bedroom,,Yes,Dedicated,Unspecified,35%,CoC Unit,All COC units require a permanent disabling condition for the Head of Household,
1027 Beach Ave.,E,Beachwood ,,1029,E,Occupied,,Family with children,Bonnie,2 Bedroom,,Yes,Dedicated,Unspecified,35%,CoC Unit,All COC units require a permanent disabling condition for the Head of Household,
1803 Hewitt Ave.,201,Commerce Bldg 8,,1,201,Occupied,,Homeless-Disabled,Timothy,SRO,,Yes,Dedicated,Unspecified,,,,
